PLAYER	matches_played	innings_batted	runs_scored	highest_runs	balls_faced	average_runs	strike_rate	innings_bowled	overs	runs_given	wickets_obtained	average_runs_per_wicket 	bowling_economy 
Aaron Finch	10	9	134	46	100	16.75	144	0	0	0	0	0	0
AB de Villiers	12	11	480	90	275	53.33	174.54	0	0	0	0	0	0
Abhishek Sharma	3	3	63	46	33	63	190.9	0	0	0	0	0	0
Ajinkya Rahane	15	14	370	65	313	28.46	118.21	0	0	0	0	0	0
Alex Hales	6	6	148	45	118	24.66	125.42	0	0	0	0	0	0
Ambati Rayudu	16	16	602	100	402	43	149.75	0	0	0	0	0	0
Andre Russell	16	14	316	88	171	28.72	184.79	15	37.5	355	13	27.3	9.38
Andrew Tye	14	8	32	14	38	5.33	84.21	14	56	448	24	18.66	8
Axar Patel	9	8	80	19	69	13.33	115.94	8	26	218	3	72.66	8.38
Ben Cutting	9	6	96	37	58	24	165.51	7	17	168	2	84	9.88
Ben Stokes	13	13	196	45	161	16.33	121.73	12	37	303	8	37.87	8.18
Bhuvneshwar Kumar	12	4	13	7	16	6.5	81.25	12	46.1	354	9	39.33	7.66
Brendon McCullum	6	6	127	43	88	21.16	144.31	0	0	0	0	0	0
Carlos Brathwaite	4	4	75	43	48	25	156.25	4	10.1	94	5	18.8	9.24
Chris Gayle	11	11	368	104	252	40.88	146.03	0	0	0	0	0	0
Chris Lynn	16	16	491	74	377	32.73	130.23	0	0	0	0	0	0
Chris Morris	4	4	46	27	26	46	176.92	4	14	143	3	47.66	10.21
Chris Woakes	5	4	17	11	19	8.5	89.47	5	18.2	190	8	23.75	10.36
Colin de Grandhomme	9	8	131	40	84	26.2	155.95	7	15	129	2	64.5	8.6
Colin Munro	5	5	63	33	41	12.6	153.65	0	0	0	0	0	0
Corey Anderson	3	3	17	15	22	5.66	77.27	3	8.4	115	3	38.33	13.26
D'Arcy Short	7	7	115	44	99	16.42	116.16	2	3	19	1	19	6.33
Dan Christian	4	3	26	13	33	13	78.78	4	11.5	101	4	25.25	8.53
David Miller	3	3	74	26	64	37	115.62	0	0	0	0	0	0
Deepak Chahar	12	4	50	39	29	16.66	172.41	12	38.1	278	10	27.8	7.28
Deepak Hooda	9	8	87	32	81	21.75	107.4	2	3	24	0	-0	8
Dinesh Karthik	16	16	498	52	337	49.8	147.77	0	0	0	0	0	0
Dwayne Bravo	16	10	141	68	91	35.25	154.94	16	53.3	533	14	38.07	9.96
Evin Lewis	13	13	382	65	276	29.38	138.4	0	0	0	0	0	0
Faf du Plessis	6	6	162	67	129	32.4	125.58	0	0	0	0	0	0
Gautam Gambhir	6	5	85	55	88	17	96.59	0	0	0	0	0	0
Glenn Maxwell	12	12	169	47	120	14.08	140.83	10	16	132	5	26.4	8.25
Harbhajan Singh	13	3	29	19	36	9.66	80.55	12	31.5	270	7	38.57	8.48
Hardik Pandya	13	13	260	50	195	28.88	133.33	13	42.4	381	18	21.16	8.92
Harshal Patel	5	2	60	36	33	60	181.81	5	17.3	167	7	23.85	9.54
Heinrich Klaasen	4	4	57	32	47	19	121.27	0	0	0	0	0	0
Ishan Kishan	14	12	275	62	184	22.91	149.45	0	0	0	0	0	0
Jason Roy	5	5	120	91	94	30	127.65	0	0	0	0	0	0
Jaydev U0dkat	15	7	49	26	38	12.25	128.94	15	50.2	486	11	44.18	9.65
Jofra Archer	10	8	15	8	21	3	71.42	10	38.5	325	15	21.66	8.36
Jos Buttler	13	13	548	95	353	54.8	155.24	0	0	0	0	0	0
JP Duminy	6	4	36	23	40	36	90	2	3	36	0	-0	12
Kane Williamson 	17	17	735	84	516	52.5	142.44	0	0	0	0	0	0
